,State,Status,Name,NameLink,Party,Twitter,TwitterLink,Instagram,InstagramLink,Facebook,FacebookLink
81,Arizona,U.S. Senator,"Sinema, Kyrsten",https://www.sinema.senate.gov/,D,@SenatorSinema,https://twitter.com/SenatorSinema?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@senatorsinema,https://www.instagram.com/senatorsinema/?hl=en,x,https://www.facebook.com/KyrstenSinema/
82,Minnesota,U.S. Senator,"Smith, Tina",https://www.smith.senate.gov/,D,@SenTinaSmith,https://twitter.com/SenTinaSmith?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@tinasmithmn,https://www.instagram.com/tinasmithmn/?hl=en,x,https://www.facebook.com/USSenTinaSmith/
83,Michigan,U.S. Senator,"Stabenow, Debbie",https://www.stabenow.senate.gov/,D,@SenStabenow,https://twitter.com/SenStabenow?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@senatordebbiestabenow,https://www.instagram.com/senatordebbiestabenow/?hl=en,x,https://www.facebook.com/stabenow
84,Alaska,U.S. Senator,"Sullivan, Dan",https://www.sullivan.senate.gov/,R,@SenDanSullivan,https://twitter.com/SenDanSullivan?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@sen_dansullivan,https://www.instagram.com/sen_dansullivan/?hl=en,x,https://www.facebook.com/SenDanSullivan
85,Montana,U.S. Senator,"Tester, Jon",https://www.tester.senate.gov/,D,@SenatorTester,https://twitter.com/SenatorTester?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@senatorjontester,https://www.instagram.com/senatorjontester/?hl=en,x,https://www.facebook.com/senatortester
86,South Dakota,U.S. Senator,"Thune, John",https://www.thune.senate.gov/public/,R,@SenJohnThune,https://twitter.com/SenJohnThune?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@senjohnthune,https://www.instagram.com/senjohnthune/?hl=en,x,https://www.facebook.com/johnthune
87,North Carolina,U.S. Senator,"Tillis, Thom",https://www.tillis.senate.gov/,R,@SenThomTillis,https://twitter.com/SenThomTillis?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@senthomtillis,https://www.instagram.com/senthomtillis/?hl=en,x,https://www.facebook.com/SenatorThomTillis
88,Pennsylvania,U.S. Senator,"Toomey, Patrick",https://www.toomey.senate.gov/,R,@SenToomey,https://twitter.com/SenToomey?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@senpattoomey,https://www.instagram.com/senpattoomey/?hl=en,x,https://www.facebook.com/senatortoomey
89,Alabama,U.S. Senator,"Tuberville, Tommy",https://www.tuberville.senate.gov/,R,@Ttuberville,https://twitter.com/ttuberville?lang=en,@sentuberville,https://www.instagram.com/sentuberville/,x,https://www.facebook.com/TommyForSenate/
90,Maryland,U.S. Senator,"Van Hollen, Chris",https://www.vanhollen.senate.gov/,D,@ChrisVanHollen,https://twitter.com/ChrisVanHollen?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@chrisvanhollen,https://www.instagram.com/chrisvanhollen/?hl=en,x,https://www.facebook.com/ChrisVanHollen
91,Virginia,U.S. Senator,"Warner, Mark",https://www.warner.senate.gov/public/,D,@MarkWarner,https://twitter.com/MarkWarner?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@senatorwarner,https://www.instagram.com/senatorwarner/?hl=en,x,https://www.facebook.com/MarkRWarner
92,Georgia,U.S. Senator," Warnock, Raphael",https://warnockforgeorgia.com/,D,@ReverendWarnock,https://twitter.com/ReverendWarnock?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@raphaelwarnock,https://www.instagram.com/raphaelwarnock/,x,https://www.facebook.com/reverendwarnock/
93,Massachusetts,U.S. Senator,"Warren, Elizabeth",https://www.warren.senate.gov/,D,@SenWarren,https://twitter.com/SenWarren?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@elizabethwarren,https://www.instagram.com/elizabethwarren/?hl=en,x,https://www.facebook.com/senatorelizabethwarren
94,Rhode Island,U.S. Senator,"Whitehouse, Sheldon",https://www.whitehouse.senate.gov/,D,@SenWhitehouse,https://twitter.com/SenWhitehouse?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@senwhitehouse,https://www.instagram.com/senwhitehouse/?hl=en,x,https://www.facebook.com/SenatorWhitehouse
