RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31
61810,8141,10470,Zip,NY,NY,New York,New York-Newark-Jersey City,Bronx County,338162.0,343152.0,348899.0,352543.0,351889.0,352294.0,353873.0,356133.0,358777.0,363590.0,368123.0,373570.0
62112,8198,11426,Zip,NY,NY,New York,New York-Newark-Jersey City,Queens County,615135.0,616826.0,618175.0,619560.0,621929.0,622185.0,622832.0,621395.0,620203.0,618638.0,617490.0,617365.0
61778,8346,10302,Zip,NY,NY,New York,New York-Newark-Jersey City,Richmond County,476710.0,478222.0,476796.0,472412.0,468107.0,464996.0,463363.0,460703.0,460099.0,458134.0,457176.0,454626.0
62114,8554,11428,Zip,NY,NY,New York,New York-Newark-Jersey City,Queens County,586978.0,589658.0,591695.0,592699.0,592535.0,591307.0,589346.0,589539.0,588579.0,592140.0,592673.0,593325.0
61657,8684,10044,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,958990.0,953597.0,953160.0,954410.0,955166.0,951766.0,949472.0,946621.0,943790.0,937913.0,932121.0,924592.0
62181,8812,11693,Zip,NY,NY,New York,New York-Newark-Jersey City,Queens County,296205.0,298716.0,298678.0,297267.0,297415.0,295885.0,301015.0,302919.0,305832.0,303171.0,301064.0,299591.0
61979,8912,11004,Zip,NY,NY,New York,New York-Newark-Jersey City,Queens County,384601.0,384847.0,384336.0,384240.0,385450.0,387658.0,388043.0,386615.0,382148.0,381154.0,379902.0,382309.0
61771,9113,10280,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,952683.0,944136.0,940244.0,934823.0,929839.0,921975.0,915986.0,910064.0,902622.0,895439.0,892877.0,890912.0
62102,9277,11416,Zip,NY,NY,New York,New York-Newark-Jersey City,Queens County,592535.0,592448.0,592813.0,592597.0,592532.0,592007.0,589934.0,589243.0,587665.0,589542.0,589619.0,590768.0
62122,9306,11436,Zip,NY,NY,New York,New York-Newark-Jersey City,Queens County,512716.0,515785.0,517766.0,519317.0,520164.0,519506.0,518375.0,516785.0,515895.0,518243.0,519996.0,520336.0
62078,9616,11366,Zip,NY,NY,New York,New York-Newark-Jersey City,Queens County,908920.0,908955.0,910541.0,908909.0,909135.0,906906.0,905255.0,902572.0,898354.0,898174.0,895254.0,894548.0
61783,9770,10307,Zip,NY,NY,New York,New York-Newark-Jersey City,Richmond County,647494.0,648668.0,648056.0,644457.0,642109.0,638463.0,636933.0,635034.0,637772.0,637467.0,637303.0,634377.0
61664,10217,10069,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,2064210.0,2057812.0,2053263.0,2039883.0,2025504.0,2012238.0,2009424.0,2011562.0,2007129.0,2002043.0,1994592.0,1992594.0
61621,10702,10007,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,2844028.0,2833404.0,2821428.0,2806808.0,2792601.0,2780118.0,2781811.0,2777486.0,2775061.0,2759170.0,2751592.0,2732512.0
61773,11873,10282,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,2477888.0,2463114.0,2438416.0,2412304.0,2396330.0,2382213.0,2376290.0,2361014.0,2355146.0,2338649.0,2322616.0,2300518.0
62075,12001,11363,Zip,NY,NY,New York,New York-Newark-Jersey City,Queens County,964283.0,962182.0,961091.0,956881.0,954025.0,948358.0,943128.0,937752.0,932554.0,931084.0,927562.0,926177.0
61620,12012,10006,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,900325.0,894054.0,887083.0,880041.0,871865.0,866550.0,863431.0,864831.0,861343.0,853048.0,838714.0,827888.0
61618,12821,10004,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,1240677.0,1225834.0,1213227.0,1203272.0,1189623.0,1190499.0,1185101.0,1154705.0,1111125.0,1087830.0,1081462.0,1089141.0
61804,13738,10464,Zip,NY,NY,New York,New York-Newark-Jersey City,Bronx County,515063.0,519834.0,524861.0,528307.0,532024.0,534416.0,533348.0,528900.0,524641.0,526345.0,525321.0,525824.0
62116,25178,11430,Zip,NY,NY,New York,New York-Newark-Jersey City,Queens County,625519.0,627819.0,630140.0,629754.0,631187.0,631922.0,634997.0,637061.0,632052.0,627413.0,622278.0,623476.0
62053,28731,11243,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,1503760.0,1500370.0,1498751.0,1492367.0,1490965.0,1490846.0,1495628.0,1493229.0,1490081.0,1483255.0,1478385.0,1474234.0
61634,34430,10020,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,475317.0,468567.0,462057.0,458196.0,453053.0,450954.0,451062.0,455135.0,456163.0,453642.0,450880.0,452221.0
61694,34430,10118,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,2585370.0,2545419.0,2486305.0,2440384.0,2394115.0,2368100.0,2358983.0,2369192.0,2388047.0,2396980.0,2425406.0,2456325.0
